player,team,position,age,club,games,minutes,goals,assists,cards_yellow,cards_red,shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,minutes_per_game,fouls,fouled,offsides,crosses,interceptions,tackles_won,goals_per_90,assist_per_90,cards_per_fouls_per_90,bad_discipline,age_binned
Adil Boulbina,Algeria,FW,23,Unattached,2,19,0,0,0,0,0,0,0.0,0.0,10.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,21-25
Amine Gouiri,Algeria,FW,26,Marseille,4,251,1,0,0,0,3,2,0.33,0.5,63.0,1,1,0,1,0,1,0.3586,0.0,0.0,0.0,26-30
Anis Hadj Moussa,Algeria,MF,24,Feyenoord,3,98,0,0,0,0,2,0,0.0,0.0,33.0,0,2,0,5,1,0,0.0,0.0,0.0,0.0,21-25
Aïssa Mandi,Algeria,DF,34,Lille,4,360,0,0,0,0,0,0,0.0,0.0,90.0,0,5,0,0,4,3,0.0,0.0,0.0,0.0,31-35
Fares Chaïbi,Algeria,MF,23,Frankfurt,4,360,0,0,1,0,9,3,0.0,0.0,90.0,3,2,1,6,3,5,0.0,0.0,0.25,0.25,21-25
Farés Ghedjemis,Algeria,FW,23,Frosinone,1,1,0,0,0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Hicham Boudaoui,Algeria,MF,26,Nice,3,128,0,0,1,0,0,0,0.0,0.0,43.0,4,1,0,1,2,1,0.0,0.0,0.703,0.703,26-30
Houssem Aouar,Algeria,MF,27,Al-Ittihad,3,173,0,2,0,0,3,1,0.0,0.0,58.0,1,2,0,0,0,1,0.0,1.04,0.0,0.0,26-30
Ibrahim Maza,Algeria,MF,20,Leverkusen,4,351,0,0,0,0,11,3,0.0,0.0,88.0,1,5,0,1,0,2,0.0,0.0,0.0,0.0,16-20
Jaouen Hadjam,Algeria,DF,23,Young Boys,3,109,0,0,0,0,1,0,0.0,0.0,36.0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,21-25
Luca Zidane,Algeria,GK,28,Granada,3,270,0,0,0,0,0,0,0.0,0.0,90.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Mohamed Amoura,Algeria,FW,26,Wolfsburg,1,27,0,0,0,0,0,0,0.0,0.0,27.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Nabil Bentaleb,Algeria,MF,31,Lille,4,285,0,0,0,0,1,0,0.0,0.0,71.0,2,3,0,3,3,4,0.0,0.0,0.0,0.0,31-35
Nadhir Benbouali,Algeria,FW,26,Győr,1,45,1,0,0,0,2,2,0.5,0.5,45.0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,26-30
Oussama Benbot,Algeria,GK,31,Unattached,1,90,0,0,0,0,0,0,0.0,0.0,90.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,31-35
Rafik Belghali,Algeria,DF,24,Hellas Verona,4,331,1,0,0,0,3,1,0.33,1.0,83.0,4,2,0,4,1,3,0.272,0.0,0.0,0.0,21-25
Ramiz Zerrouki,Algeria,MF,28,Twente,3,111,0,0,1,0,0,0,0.0,0.0,37.0,4,0,0,0,2,1,0.0,0.0,0.811,0.811,26-30
Ramy Bensebaini,Algeria,DF,31,Dortmund,4,360,0,0,0,0,2,0,0.0,0.0,90.0,1,5,0,0,7,6,0.0,0.0,0.0,0.0,31-35
Rayan Aït-Nouri,Algeria,DF,25,Manchester City,4,284,0,0,0,0,1,0,0.0,0.0,71.0,6,4,0,8,5,13,0.0,0.0,0.0,0.0,21-25
Riyad Mahrez,Algeria,MF,35,Al-Ahli,4,262,2,1,0,0,6,3,0.33,0.6665,66.0,1,7,1,10,1,2,0.687,0.3435,0.0,0.0,31-35
Samir Chergui,Algeria,DF,27,Paris FC,1,20,0,0,0,0,0,0,0.0,0.0,20.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26-30
Zineddine Belaïd,Algeria,DF,27,Unattached,2,25,0,0,0,0,0,0,0.0,0.0,13.0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,26-30
Alexis Mac Allister,Argentina,MF,27,Liverpool,8,750,1,1,1,0,13,4,0.08,0.25,94.0,9,12,0,2,9,12,0.12,0.12,0.12,0.12,26-30
Cristian Romero,Argentina,DF,28,Tottenham,7,608,1,0,2,0,3,1,0.33,1.0,87.0,9,3,0,0,11,10,0.1481,0.0,0.2961,0.2961,26-30
Emiliano Martínez,Argentina,GK,33,Aston Villa,8,810,0,0,0,0,0,0,0.0,0.0,101.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,31-35
Enzo Fernández,Argentina,MF,25,Chelsea,7,659,2,0,2,1,12,4,0.17,0.5,94.0,12,6,1,5,6,7,0.2732,0.0,0.4097,0.6826,21-25
Exequiel Palacios,Argentina,DF,27,Leverkusen,1,90,0,0,0,0,0,0,0.0,0.0,90.0,1,1,0,0,5,0,0.0,0.0,0.0,0.0,26-30
Facundo Medina,Argentina,DF,27,Marseille,5,308,0,1,1,0,0,0,0.0,0.0,62.0,3,2,1,1,2,7,0.0,0.2922,0.2922,0.2922,26-30
Flaco López,Argentina,FW,25,Palmeiras,2,20,0,1,1,0,1,0,0.0,0.0,10.0,1,0,0,0,0,1,0.0,4.5,4.5,4.5,21-25
Giovani Lo Celso,Argentina,MF,30,Real Betis,1,59,1,0,0,0,1,1,1.0,1.0,59.0,1,1,1,1,1,0,1.525,0.0,0.0,0.0,26-30
Giuliano Simeone,Argentina,FW,23,Atlético Madrid,3,192,0,0,0,0,1,0,0.0,0.0,64.0,9,1,1,2,1,3,0.0,0.0,0.0,0.0,21-25
Gonzalo Montiel,Argentina,DF,29,River Plate,6,192,0,1,1,0,1,0,0.0,0.0,32.0,4,2,0,4,3,3,0.0,0.4688,0.4688,0.4688,26-30
Julián Álvarez,Argentina,FW,26,Atlético Madrid,8,602,1,0,0,0,11,5,0.09,0.2,75.0,11,4,2,2,3,4,0.1495,0.0,0.0,0.0,26-30
Lautaro Martínez,Argentina,FW,28,Inter,7,310,3,1,1,0,10,4,0.2,0.75,44.0,8,5,2,1,1,1,0.871,0.2903,0.2903,0.2903,26-30
Leandro Paredes,Argentina,MF,31,Boca Juniors,7,473,0,0,2,0,4,1,0.0,0.0,68.0,9,3,0,2,5,6,0.0,0.0,0.3806,0.3806,31-35
Lionel Messi,Argentina,FW,38,Inter Miami,8,740,8,4,0,0,35,18,0.23,0.4443,93.0,3,20,5,54,0,10,0.973,0.4866,0.0,0.0,36-40
Lisandro Martínez,Argentina,DF,28,Manchester Utd,7,624,1,1,2,0,4,2,0.25,0.5,89.0,7,4,0,2,6,7,0.1443,0.1443,0.2886,0.2886,26-30
Marcos Senesi,Argentina,DF,29,Bournemouth,2,109,0,0,0,0,1,0,0.0,0.0,55.0,0,3,0,0,2,0,0.0,0.0,0.0,0.0,26-30
Nahuel Molina,Argentina,DF,28,Atlético Madrid,7,528,0,0,0,0,1,0,0.0,0.0,75.0,3,0,1,5,8,3,0.0,0.0,0.0,0.0,26-30
Nicolás González,Argentina,MF,28,Atlético Madrid,7,259,0,1,0,0,7,1,0.0,0.0,37.0,4,3,2,6,1,3,0.0,0.3474,0.0,0.0,26-30
Nicolás Otamendi,Argentina,DF,38,Benfica,7,247,0,0,0,0,1,0,0.0,0.0,35.0,4,4,1,0,6,2,0.0,0.0,0.0,0.0,36-40
Nicolás Paz,Argentina,MF,21,Como,2,71,0,0,0,0,1,0,0.0,0.0,36.0,2,1,0,0,0,2,0.0,0.0,0.0,0.0,21-25
Nicolás Tagliafico,Argentina,DF,33,Lyon,7,476,0,0,0,0,0,0,0.0,0.0,68.0,9,16,2,2,6,4,0.0,0.0,0.0,0.0,31-35
Rodrigo De Paul,Argentina,MF,32,Inter Miami,7,491,0,1,1,0,2,1,0.0,0.0,70.0,2,5,1,14,6,4,0.0,0.1833,0.1833,0.1833,31-35
Thiago Almada,Argentina,MF,25,Atlético Madrid,5,241,0,0,1,0,5,2,0.0,0.0,48.0,2,2,2,1,0,4,0.0,0.0,0.3735,0.3735,21-25
Valentín Barco,Argentina,DF,21,Strasbourg,1,20,0,0,0,0,0,0,0.0,0.0,20.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,21-25
Aiden O'Neill,Australia,MF,27,NYCFC,4,360,0,0,0,0,2,0,0.0,0.0,90.0,2,8,0,10,2,2,0.0,0.0,0.0,0.0,26-30
Ajdin Hrustic,Australia,MF,29,Heracles Almelo,2,80,0,0,0,0,3,0,0.0,0.0,40.0,1,0,0,5,0,0,0.0,0.0,0.0,0.0,26-30
Alessandro Circati,Australia,DF,22,Parma,4,390,0,0,1,0,3,0,0.0,0.0,98.0,5,4,0,2,2,7,0.0,0.0,0.2307,0.2307,21-25
