player,team,position,age,club,games,minutes,goals,assists,cards_yellow,cards_red,shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,minutes_per_game,fouls,fouled,offsides,crosses,interceptions,tackles_won,goals_per_90,assist_per_90,cards_per_fouls_per_90,bad_discipline,age_binned
Adil Boulbina,Algeria,FW,23,Unattached,2,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21-25
Amine Gouiri,Algeria,FW,26,Marseille,4,251.0,1.0,0.0,0.0,0.0,3.0,2.0,0.33,0.5,63.0,1.0,1.0,0.0,1.0,0.0,1.0,0.35856573705179284,0.0,0.0,0.0,26-30
Anis Hadj Moussa,Algeria,MF,24,Feyenoord,3,98.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,33.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,21-25
Aïssa Mandi,Algeria,DF,34,Lille,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,0.0,5.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,31-35
Fares Chaïbi,Algeria,MF,23,Frankfurt,4,360.0,0.0,0.0,1.0,0.0,9.0,3.0,0.0,0.0,90.0,3.0,2.0,1.0,6.0,3.0,5.0,0.0,0.0,0.25,0.25,21-25
Farés Ghedjemis,Algeria,FW,23,Frosinone,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21-25
Hicham Boudaoui,Algeria,MF,26,Nice,3,128.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,43.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.703125,0.703125,26-30
Houssem Aouar,Algeria,MF,27,Al-Ittihad,3,173.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,58.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0404624277456647,0.0,0.0,26-30
Ibrahim Maza,Algeria,MF,20,Leverkusen,4,351.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,88.0,1.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,16-20
Jaouen Hadjam,Algeria,DF,23,Young Boys,3,109.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,36.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,21-25
Luca Zidane,Algeria,GK,28,Granada,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26-30
Mohamed Amoura,Algeria,FW,26,Wolfsburg,1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26-30
Nabil Bentaleb,Algeria,MF,31,Lille,4,285.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,71.0,2.0,3.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,31-35
Nadhir Benbouali,Algeria,FW,26,Győr,1,45.0,1.0,0.0,0.0,0.0,2.0,2.0,0.5,0.5,45.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,26-30
Oussama Benbot,Algeria,GK,31,Unattached,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31-35
Rafik Belghali,Algeria,DF,24,Hellas Verona,4,331.0,1.0,0.0,0.0,0.0,3.0,1.0,0.33,1.0,83.0,4.0,2.0,0.0,4.0,1.0,3.0,0.2719033232628399,0.0,0.0,0.0,21-25
Ramiz Zerrouki,Algeria,MF,28,Twente,3,111.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,37.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.8108108108108109,0.8108108108108109,26-30
Ramy Bensebaini,Algeria,DF,31,Dortmund,4,360.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,90.0,1.0,5.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,31-35
Rayan Aït-Nouri,Algeria,DF,25,Manchester City,4,284.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,71.0,6.0,4.0,0.0,8.0,5.0,13.0,0.0,0.0,0.0,0.0,21-25
Riyad Mahrez,Algeria,MF,35,Al-Ahli,4,262.0,2.0,1.0,0.0,0.0,6.0,3.0,0.33,0.6666666666666666,66.0,1.0,7.0,1.0,10.0,1.0,2.0,0.6870229007633587,0.34351145038167935,0.0,0.0,31-35
Samir Chergui,Algeria,DF,27,Paris FC,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26-30
Zineddine Belaïd,Algeria,DF,27,Unattached,2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26-30
